"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","用户登录","2","0","空凭据登录场景","0"
"0","","0","用户登录","2","0","正确凭据登录场景","0"
"0","","0","用户登录","2","0","错误凭据登录场景","0"
"0","","0","用户登录","2","0","正确用户名错误密码场景","0"
